gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000176974,-4.30203383654754,6.92436767263047,-16.8675382517436,2.56527968262991e-09,4.40535479898034e-05,11.7482697352887
ENSG00000023330,-4.09100617124278,6.92478682415437,-13.6006960922116,2.57971633943528e-08,6.91505878580507e-05,9.6685070278366
ENSG00000116771,-4.58911159455347,4.7418309937911,-13.3952416646761,3.03175582672685e-08,6.91505878580507e-05,9.48746373680742
ENSG00000214274,-5.74896692043366,5.55388878220821,-13.1622255550423,3.65084488897445e-08,6.91505878580507e-05,9.30752418915129
ENSG00000138030,-4.96404695118155,5.2568275704181,-12.9524599895701,4.32646325103704e-08,6.91505878580507e-05,9.16754920040363
ENSG00000135447,-6.22807364105681,4.49516152906179,-13.0971945167009,3.84717425679257e-08,6.91505878580507e-05,9.15948143718625
ENSG00000169738,-4.89855314055825,7.58030351077867,-12.9223172609242,4.43420714088715e-08,6.91505878580507e-05,9.13715552062451
ENSG00000137561,-5.49874422724022,4.24838177206632,-12.9824076343175,4.22222098392063e-08,6.91505878580507e-05,9.09743488218558
ENSG00000166347,-4.47877339641697,7.15719125676433,-12.8320012030625,4.77482536131571e-08,6.91505878580507e-05,9.08258072281896
ENSG00000168237,-4.32736293334596,5.52741840457341,-12.7637193830718,5.05115079233261e-08,6.91505878580507e-05,9.04325766621396
ENSG00000123453,-6.36216718395545,4.9295324154183,-12.7170380701228,5.25001336366074e-08,6.91505878580507e-05,8.90320680226545
ENSG00000135094,-8.50124372838884,5.67892141168317,-12.7995069850355,4.90422457620403e-08,6.91505878580507e-05,8.89129096199506
ENSG00000148803,-4.91985667710977,4.51412724677199,-12.4161872425396,6.75393410968411e-08,6.91505878580507e-05,8.71709359463814
ENSG00000112294,-2.89377016087616,6.42127125223856,-12.3329820265634,7.24806720692315e-08,6.91505878580507e-05,8.70728228754409
ENSG00000155666,-4.26630637529858,3.82173942632541,-12.3962610837159,6.86885309310199e-08,6.91505878580507e-05,8.68053847476284
