"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",-1.39910948400035,0.0367948737228581,-17.33843903607,2.96289485537029e-10,2.44147052652744e-08,14.050295407643
"KEGG_TRYPTOPHAN_METABOLISM",-1.18172363469887,0.034532647113768,-17.0747294985453,3.57652333695579e-10,2.44147052652744e-08,13.8676442040012
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",-1.15851798774123,0.0446789936857006,-16.9413204551402,3.93785568794748e-10,2.44147052652744e-08,13.7740546687166
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",-1.27909504499746,0.0369868161193086,-16.1629348626725,7.00392610781394e-10,2.71073659263362e-08,13.2114704433125
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",-1.27263408827376,0.00996626649197188,-16.1106138368357,7.28692632428391e-10,2.71073659263362e-08,13.1726102027379
"KEGG_RETINOL_METABOLISM",-1.21835512037037,0.0367851435634705,-15.7906745206503,9.30808059895207e-10,2.88550498567514e-08,12.9320079877897
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",-1.05300217240248,0.03794296262156,-14.4263058792575,2.78817957525995e-09,7.40859144283359e-08,11.8450148054386
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",-1.05083364101298,0.019228271830497,-14.1677775308202,3.46844345263126e-09,8.06413102736767e-08,11.627133812261
"KEGG_PPAR_SIGNALING_PATHWAY",-0.977687306668752,0.0227791555792481,-12.0665165043865,2.3592008406738e-08,4.85185024470674e-07,9.69482230759211
"KEGG_LINOLEIC_ACID_METABOLISM",-0.998608532856584,0.0671189104620309,-11.9642667016057,2.60852163693911e-08,4.85185024470674e-07,9.59274358057326
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",-0.993717255862428,0.0187422727114313,-11.6746126629501,3.48116805342341e-08,5.88633870851594e-07,9.29911400661072
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",-1.01506128980248,0.0375885072643068,-11.2481216939719,5.38396629283592e-08,8.34514775389568e-07,8.85437199966916
"KEGG_MISMATCH_REPAIR",0.946577392091143,-0.072498602242013,11.0540235947305,6.59588736202179e-08,9.43719268720041e-07,8.64689799964954
