"","StromalScore","ImmuneScore","ESTIMATEScore","TumorPurity"
"TCGA-W5-AA2U-11A",-243.552294037396,260.382275975622,16.8299819382263,0.821101798136629
"TCGA-W5-AA2X-11A",-34.787664334232,233.729633580982,198.94196924675,0.805552157832975
"TCGA-W5-AA2Q-11A",432.984048569672,1007.61726550683,1440.60131407651,0.684811914143618
"TCGA-W5-AA30-11A",119.480952294826,424.709464421189,544.190416716015,0.774502526383567
"TCGA-ZU-A8S4-11A",-146.499328417407,418.235879521014,271.736551103607,0.799174925316863
"TCGA-W5-AA36-01A",-434.399867377782,-192.242934362481,-626.642801740264,0.871274427421069
"TCGA-W5-AA2X-01A",-1574.59352000336,-1261.68584596604,-2836.2793659694,0.98225749484926
"TCGA-W5-AA33-01A",32.7775402682529,483.843066255495,516.620606523747,0.777056145898782
"TCGA-ZH-A8Y2-01A",-719.05447829326,-127.547148458408,-846.601626751668,0.886664106146016
"TCGA-ZH-A8Y6-01A",-909.395341848497,-1014.13706849646,-1923.53241034496,0.948403254432509
