"gene","p.value"
"TNFRSF4",8.14589400560991e-09
"ADORA2A",1.04496256586248e-08
"TNFSF4",2.65251703894839e-07
"TDO2",8.22641579829277e-07
"BTN2A1",9.59051924765594e-07
"TNFSF9",1.51774775315074e-06
"PVR",0.000139880692083319
"CD276",0.000672464154185065
"TNFRSF14",0.000709223030466964
"BTN2A2",0.00105307624997113
"BTNL9",0.00148495233877497
"HLA-DMA",0.00386269029413324
"TNFSF14",0.00467945738650821
"CD47",0.00511638266711447
"HLA-G",0.00667304114702903
"TNFRSF18",0.00943424440869702
"BTNL3",0.010835617464803
"BTN3A1",0.0172061677785268
"ICOSLG",0.0192666158478462
"PDCD1",0.0325730588340244
"CD160",0.03640665979949
"CEACAM1",0.0379866160398465
"TNFRSF9",0.0390302088735334
"CTLA4",0.0451614984129324
"HLA-DRB5",0.051158884685699
"CD226",0.0551905907414637
"KIR2DL4",0.0639878105829555
"HLA-F",0.0799009069498965
"TNFSF18",0.0855712093406767
"HLA-C",0.0893035076608037
"HLA-E",0.0952788745749025
"VTCN1",0.0990794362825429
"HLA-DOB",0.112949469807486
"CD40",0.115508005714726
"LGALS9",0.121266192500334
"KIR2DS4",0.121961111076796
"HLA-A",0.140737157258241
"CD70",0.175711098013686
"KIR3DL1",0.203111198099401
"CD209",0.286712855097784
"HLA-DQB1",0.295681708565586
"KIR3DL3",0.305825272772156
"HLA-DRB1",0.307950039182913
"KIR3DL2",0.388581481495113
"HLA-B",0.396767755476669
"CD27",0.413367485480253
"CD86",0.458065731989831
"TIGIT",0.470013303607897
"CD96",0.477603190785361
"HLA-DOA",0.479106681049662
"CD40LG",0.503006488628963
"IDO1",0.505261142615695
"HLA-DMB",0.509619263383131
"KIR2DL1",0.519669971471803
"HLA-DPA1",0.529861088700126
"BTLA",0.551056288223497
"KIR2DL3",0.558011299591038
"CD274",0.57334267871806
"CD80",0.59199848279686
"HAVCR2",0.711036237620671
"HLA-DQA1",0.748724911630828
"ICOS",0.763493785491299
"HLA-DRA",0.791926610912657
"CD28",0.814091147318341
"SIRPA",0.839082435564843
"HLA-DPB1",0.839238186286051
"LAG3",0.972539196373962
"PDCD1LG2",0.994336483101507
