"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"TCGA-DD-AACK-01A",0.0295970929398401,0,0.00196683980807108,0.075271806888553,0,0.2383811847161,0,0.027640391936347,0.113145539219425,0,0,0.0504797327001297,0.00418030471995486,0.0492929557468769,0.086680254762134,0.273494275656115,0.0498696209064527,0,0,0,0,0,0.68,-0.00745809615027581,1.10002998955129
"TCGA-DD-AADA-01A",0.1231213261964,0,0.0177603863076335,0.184754419744707,0,0.221413394379708,0.00124326625781259,0.0492490590134705,0.087568193186048,0,0,0.0340963415738635,0.00413924943891067,0.0403506787492833,0.0754369868788065,0.0948179704050099,0.0406761289480017,0,0.025372598920344,0,0,0,0.14,0.0837092829195279,1.06993733446904
"TCGA-DD-A3A5-01A",0.00784132293366407,0,0,0.30709936193294,0,0.0959979983811677,0,0,0.165187513011822,0.0181480508945509,0,0.0913207850521131,0,0.042953162789482,0.0521429767274163,0.17507964969895,0,0,0.0338366553939682,0,0,0.010392523183926,0.68,-0.00700418561807658,1.13106279114052
"TCGA-DD-A3A5-11A",0.0403566457884266,0,0.00310518487460176,0.0616258588126312,0,0.0757353953770104,0,0.0215810107977707,0.0403635463928619,0.0257325190044602,0.00831819825536768,0.107233409068032,0.137998594510941,0.0808229989717316,0.0821834463513453,0.263688603567142,0,0,0,0.0512545882276784,0,0,0.52,0.00529107083493831,1.09083812036046
"TCGA-CC-A7IJ-01A",0.000481918028564438,0,0.0013540677062835,0.299534237642306,0,0,0.0366498064696364,0.0572257917606203,0.0295487345796478,0.119554103969253,0,0,0.0295240375232484,0,0.0992149974265362,0.325446152220922,0.000467348353948108,0,0,0.000998804319033565,0,0,0.02,0.214544903611217,1.01310364101459
"TCGA-RC-A6M5-01A",0.0162077894582766,0,0.0224762214049271,0.0988266764425731,0,0.309288168849086,0,0.00139652531587614,0.085256227801388,0,0,0.0568591674870705,0,0.0357356152937205,0.0331403882396326,0.252722204552451,0.0336694437431114,0,0.0544215714118869,0,0,0,0.36,0.0264427155096856,1.08345913011728
"TCGA-DD-AACY-01A",0.0106590774279716,0,0.00905850482022159,0.213978628982856,0,0.156564911195961,0,0.0629426278141864,0.0836618651192395,0.0198047812555118,0,0.107618112322886,0,0.0530358131954719,0.0502980828602527,0.195757161736052,0.0320838944620549,0,0,0.00453653880733465,0,0,0.79,-0.0166308214516327,1.12544678383664
"TCGA-BC-A10R-11A",0.0692739926694859,0,0.00659329961100395,0.103157714772494,0,0.0229814409318599,0,0.0255624337848967,0.00236687186073404,0,0,0.0717735945031038,0.186791062384634,0,0.106354786258077,0.333983109376954,0,0,0,0.0666391954387837,0,0.00452249840797208,0.18,0.0722520313870312,1.06436050945114
"TCGA-DD-AAW0-01A",0.0429674291650916,0,0.00133541516872603,0.038853729045322,0,0.233119435744958,0.00256604237049638,0,0.0762843664788159,0,0,0.0158009964297563,0.0117441866774439,0.286100213198668,0.0921010318319547,0.0812070065333332,0.0479827414387416,0,0.0595641021719707,0,0,0.0103733037447213,0.05,0.163024163377215,1.02623905115037
"TCGA-DD-A39X-01A",0.0340835542718439,0,0.00166631235598045,0.113943581237072,0,0.184694158734568,0,0.0145931267208627,0.0838598992446173,0,0,0.0418325691184667,0.00639198626723005,0.115449871672715,0.0415107807521514,0.223720533563504,0.0897181803490106,0,0.0485354457119783,0,0,0,0.48,0.0107844499166216,1.08021682129383
"TCGA-DD-AAD3-01A",0.0410773454551739,0,0.000433098824480072,0.0465668931812379,0,0.329797705377996,0,0.0387220185127311,0.0661243944242853,0,0,0.0138378101906647,0.0171332824222507,0.105793574122977,0.182047492694071,0.0332648553328822,0.0444239581676745,0,0.0758394260749981,0,0.00349992757274472,0.00143821764583264,0.15,0.079928668230444,1.0734819037289
"TCGA-DD-AAW2-01A",0.114369570164511,0,0,0.130611818212616,0,0.0228378834406442,0,0,0.0242107036849792,0,0.181014392225098,0.0428908207313442,0.0238918088861034,0.0089475568935769,0.0872524693875822,0.239834911646495,0.0293068694072394,0,0.0906586918111287,0,0,0.00417250350868278,0.85,-0.0223046799774755,1.10412183422986
"TCGA-DD-AAD2-01A",0.0585566997945792,0,0.000595477853195724,0.0911749320368501,0,0.177586105987514,0.014424321049372,0.00958476484178498,0.10059747800752,0,0,0.0179617432537759,0.00673704764481736,0.223192646571512,0.104332734256095,0.147407734766224,0.0232321103808872,0,0.0225555858107956,0,0,0.00206061774507774,0.1,0.104184501038429,1.05177512514317
"TCGA-DD-AACN-01A",0.118585964528373,0,0.0189039032717228,0.0835962956209111,0,0.283526738445025,0.00401864984569059,0,0.0431093657072727,0,0,0.0111620711163163,0.0209281937211604,0.0334616260771781,0.164756722971241,0.105446447754489,0.0429187411828792,0,0.06950102229388,0,0,8.42574638613578e-05,0.07,0.149334786807161,1.03302118726773
"TCGA-5C-A9VG-01A",0.101948719922637,0,0.0107422075455254,0.0398762441779949,0,0.141904948880435,0,0.0329846197430256,0.00843305406263441,0.00478768336872052,0,0.0469245852741149,0,0.130524802077532,0.052270504347383,0.218119395963335,0.00236804525799853,0,0.209115189378663,0,0,0,0.28,0.0381520464831837,1.06286253613261
"TCGA-G3-A25X-01A",0.0097625093801248,0,0.000911484833907771,0.21405243795085,0,0,0.000126875146055199,0.00645790611835611,0.202466945395884,0.0245793602962204,0,0.085993162909961,0,0.0533700925785279,0.0703814494312699,0.137885217731581,0.103940078639879,0,0.0438955033984307,0,0,0.0461769761889525,0.07,0.147865150988518,1.03529820565637
"TCGA-DD-A39X-11A",0.103886092383823,0,0.00941187904830044,0.15429699141617,0,0.126299880798787,0,0.0389895219747981,0.0121158610451138,0.0384817814988354,0,0.0704360144817327,0.035186736265613,0,0.0779463377269658,0.207073012412962,0.0100550915122373,0,0.111385934702836,0,0,0.00443486473182539,0.48,0.0107138223866373,1.07979185020601
